,sex,age,annhrs,annincome,degree,explevel
0,1,34,1600,10000.0,1.0,12.0
1,1,32,520,9095.0,0.0,14.0
2,1,64,2550,45200.0,0.0,39.0
3,1,50,3072,25000.0,0.0,30.0
4,1,26,2100,24500.0,0.0,8.0
5,1,39,1944,46500.0,2.0,15.0
6,1,40,2024,60000.0,0.0,17.0
7,1,47,2988,39200.0,0.0,29.0
8,1,30,2410,20500.0,0.0,12.0
9,1,55,1750,33000.0,0.0,32.0
10,1,40,2340,55000.0,0.0,17.0
11,1,33,600,36000.0,0.0,15.0
12,1,25,2010,30000.0,0.0,7.0
13,1,41,1746,22000.0,0.0,23.0
14,1,27,1350,20000.0,0.0,9.0
15,1,48,2205,39000.0,0.0,29.0
16,1,36,2080,28000.0,0.0,11.0
17,1,46,1937,35000.0,0.0,27.0
18,1,30,2400,40000.0,0.0,11.0
19,1,34,2540,30500.0,0.0,15.0
20,1,42,1840,60000.0,0.0,19.0
21,1,27,2448,38000.0,1.0,9.0
22,1,26,2196,42000.0,0.0,7.0
23,1,32,2752,23000.0,0.0,13.0
24,1,55,1968,48000.0,0.0,37.0
25,1,46,3640,26000.0,0.0,25.0
26,1,49,1900,63000.0,0.0,24.0
27,1,25,2171,11640.0,0.0,4.0
28,1,39,2600,40804.0,0.0,21.0
29,1,34,2091,26000.0,0.0,16.0
30,1,33,2016,43000.0,0.0,11.0
31,1,52,2015,13497.0,0.0,33.0
32,1,48,2450,95000.0,2.0,24.0
33,1,31,2880,53000.0,1.0,12.0
34,1,31,2430,43800.0,1.0,8.0
35,1,40,3332,20000.0,0.0,22.0
36,1,43,2028,28000.0,0.0,25.0
37,1,30,880,19800.0,0.0,10.0
38,1,28,3028,10100.0,0.0,9.0
39,1,41,1928,61500.0,0.0,18.0
40,1,49,2896,19601.0,0.0,28.0
41,1,31,2778,21000.0,0.0,13.0
42,1,33,447,960.0,0.0,8.0
43,1,36,2419,20270.0,0.0,17.0
44,1,32,2789,58000.0,1.0,12.0
45,1,32,2080,30900.0,0.0,12.0
46,1,61,2940,55000.0,0.0,38.0
47,1,50,2695,101500.0,2.0,25.0
48,1,36,2115,149000.0,2.0,13.0
49,1,31,1710,11000.0,0.0,13.0
50,1,33,1788,76000.0,1.0,12.0
51,1,47,3000,300000.0,2.0,21.0
52,1,36,1904,40000.0,0.0,17.0
53,1,42,2205,190000.0,2.0,21.0
54,1,37,2232,63500.0,0.0,16.0
55,1,46,1950,80000.0,0.0,23.0
56,1,49,1640,32000.0,0.0,23.0
57,1,37,1968,60000.0,1.0,17.0
58,1,47,2738,21500.0,0.0,28.0
59,1,39,1404,40000.0,2.0,12.0
60,1,43,2160,32620.0,0.0,25.0
61,1,25,3000,26000.0,1.0,6.0
62,1,31,2080,29000.0,0.0,13.0
63,1,37,3104,31000.0,0.0,19.0
64,1,31,2121,18000.0,0.0,11.0
65,1,34,2016,93000.0,2.0,12.0
66,1,55,1920,29000.0,0.0,37.0
67,1,45,1952,86020.0,0.0,22.0
68,1,30,1770,22000.0,0.0,12.0
69,1,29,1920,19000.0,0.0,11.0
70,1,44,2640,75000.0,0.0,19.0
71,1,45,2695,50000.0,0.0,26.0
72,1,41,4092,12000.0,0.0,20.0
73,1,37,2544,15500.0,0.0,19.0
74,1,39,669,52147.0,0.0,21.0
75,1,56,1950,42000.0,0.0,33.0
76,1,60,1886,23200.0,1.0,38.0
77,1,50,1526,38000.0,0.0,25.0
78,1,48,1772,31318.0,0.0,22.0
79,1,50,2139,27600.0,0.0,30.0
80,1,33,2392,48223.0,0.0,10.0
81,1,36,2760,26000.0,0.0,18.0
82,1,46,2530,46500.0,0.0,25.0
83,1,41,2205,140000.0,0.0,17.0
84,1,32,1672,14700.0,0.0,14.0
85,1,42,1680,58000.0,0.0,17.0
86,1,40,2074,182000.0,2.0,13.0
87,1,39,2333,28000.0,1.0,20.0
88,1,59,2339,29000.0,0.0,32.0
89,1,45,2381,54000.0,0.0,21.0
90,1,37,2009,41000.0,0.0,18.0
91,1,35,2856,42000.0,0.0,16.0
92,1,43,1040,3500.0,1.0,16.0
93,1,27,3162,53600.0,0.0,8.0
94,1,59,1960,75000.0,0.0,35.0
95,1,26,2102,35000.0,1.0,7.0
96,1,38,2590,40000.0,0.0,19.0
97,1,50,1816,8000.0,0.0,32.0
98,1,33,2350,63000.0,0.0,12.0
99,1,59,1868,19403.0,0.0,41.0
100,1,33,2500,65000.0,0.0,10.0
